"filename", "language", "JSON", "TypeScript React", "Markdown", "SCSS", "XML", "CSS", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\ardaf\repository\lightnoveltracker\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\ardaf\repository\lightnoveltracker\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\ardaf\repository\lightnoveltracker\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\ardaf\repository\lightnoveltracker\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 36, 129
"c:\Users\ardaf\repository\lightnoveltracker\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Users\ardaf\repository\lightnoveltracker\components\alertWrapper.tsx", "TypeScript React", 0, 30, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\ardaf\repository\lightnoveltracker\components\cards\volumeCard.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ardaf\repository\lightnoveltracker\components\footer.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 0, 7, 3, 25
"c:\Users\ardaf\repository\lightnoveltracker\components\navigation.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 0, 0, 1, 14, 78
"c:\Users\ardaf\repository\lightnoveltracker\components\notificationItem.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\ardaf\repository\lightnoveltracker\components\overlayMenu.tsx", "TypeScript React", 0, 129, 0, 0, 0, 0, 0, 0, 1, 24, 154
"c:\Users\ardaf\repository\lightnoveltracker\components\pageBase.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 2, 5, 26
"c:\Users\ardaf\repository\lightnoveltracker\components\quickAlert.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\ardaf\repository\lightnoveltracker\components\subtitle.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ardaf\repository\lightnoveltracker\components\ui\button.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ardaf\repository\lightnoveltracker\components\ui\inputField.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 1, 7, 54
"c:\Users\ardaf\repository\lightnoveltracker\components\userContainer.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 0, 1, 6, 59
"c:\Users\ardaf\repository\lightnoveltracker\lib\apiHelpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 101, 0, 14, 115
"c:\Users\ardaf\repository\lightnoveltracker\lib\clientHelpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 119, 3, 14, 136
"c:\Users\ardaf\repository\lightnoveltracker\lib\db.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 128, 0, 27, 155
"c:\Users\ardaf\repository\lightnoveltracker\lib\models\book.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 80, 0, 9, 89
"c:\Users\ardaf\repository\lightnoveltracker\lib\models\session.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"c:\Users\ardaf\repository\lightnoveltracker\lib\models\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 6, 48
"c:\Users\ardaf\repository\lightnoveltracker\lib\serverHelpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 71, 1, 14, 86
"c:\Users\ardaf\repository\lightnoveltracker\lib\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 1, 6, 30
"c:\Users\ardaf\repository\lightnoveltracker\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Users\ardaf\repository\lightnoveltracker\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 30, 0, 1, 2, 33
"c:\Users\ardaf\repository\lightnoveltracker\package-lock.json", "JSON", 6418, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6419
"c:\Users\ardaf\repository\lightnoveltracker\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\ardaf\repository\lightnoveltracker\pages\_app.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 0, 1, 14, 55
"c:\Users\ardaf\repository\lightnoveltracker\pages\_document.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 98, 0, 21, 119
"c:\Users\ardaf\repository\lightnoveltracker\pages\api\get_book.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
